word,partOfSpeech,meaning,example,translation,synonyms,collocation,category,level
invoice,noun,發票；帳單,Please send the invoice to the accounting department by Friday.,請在星期五前把發票寄給會計部門。,bill; receipt,issue an invoice,Business,Basic
contract,noun,合約；契約,The company signed a contract with a new supplier.,公司與新的供應商簽署了一份合約。,agreement; deal,sign a contract,Business,Basic
client,noun,客戶；委託人,Our client requested a revised proposal this morning.,我們的客戶今天早上要求一份修改後的企劃書。,customer; buyer,meet a client,Business,Basic
proposal,noun,提案；企劃書,The marketing team prepared a proposal for the product launch.,行銷團隊為產品上市準備了一份提案。,plan; suggestion,submit a proposal,Business,Intermediate
revenue,noun,收入；收益,The company expects revenue to increase next quarter.,公司預期下個季度收入會增加。,income; earnings,increase revenue,Business,Intermediate
negotiate,verb,談判；協商,They will negotiate the final price with the vendor.,他們將與供應商協商最終價格。,discuss; bargain,negotiate a deal,Business,Intermediate
budget,noun,預算,We need to reduce expenses to stay within the budget.,我們需要降低支出以維持在預算內。,fund; financial plan,set a budget,Business,Basic
supplier,noun,供應商,The supplier can deliver the materials within three days.,供應商可以在三天內交付材料。,vendor; provider,contact a supplier,Business,Basic
profit,noun,利潤,The new strategy helped the store increase its profit.,新的策略幫助這家店提高了利潤。,gain; earnings,make a profit,Business,Basic
deadline,noun,截止日期,The deadline for the report has been moved to Monday.,報告的截止日期已改到星期一。,due date; time limit,meet a deadline,Business,Basic
schedule,noun/verb,行程表；安排,Please check your schedule before confirming the meeting.,確認會議前請先查看你的行程表。,timetable; plan,check a schedule,Office,Basic
document,noun,文件,All documents must be submitted before the end of the day.,所有文件必須在今天結束前提交。,file; record,submit a document,Office,Basic
appointment,noun,約定；預約,I have an appointment with the manager at 10 a.m.,我上午十點和經理有約。,meeting; reservation,make an appointment,Office,Basic
department,noun,部門,She works in the sales department.,她在銷售部門工作。,division; section,sales department,Office,Basic
supervisor,noun,主管；監督者,Please ask your supervisor before changing the schedule.,更改行程前請先詢問你的主管。,manager; director,report to a supervisor,Office,Intermediate
agenda,noun,會議議程,The agenda includes three main topics for discussion.,議程包含三個主要討論主題。,schedule; program,meeting agenda,Office,Intermediate
memo,noun,備忘錄；通知,The memo explains the new office policy.,這份備忘錄說明了新的辦公室政策。,notice; message,send a memo,Office,Intermediate
conference,noun,會議；研討會,Several employees will attend the annual conference.,幾位員工將參加年度研討會。,meeting; seminar,attend a conference,Office,Intermediate
equipment,noun,設備；器材,The office equipment will be replaced next month.,辦公設備將於下個月更換。,device; tools,office equipment,Office,Basic
procedure,noun,程序；步驟,Please follow the safety procedure carefully.,請仔細遵守安全程序。,process; method,follow a procedure,Office,Intermediate
reservation,noun,預約；保留,I made a reservation for two people at the hotel.,我在飯店預約了兩個人的房間。,booking; appointment,make a reservation,Travel,Basic
luggage,noun,行李,Passengers should not leave their luggage unattended.,旅客不應讓行李無人看管。,baggage; bags,carry luggage,Travel,Basic
departure,noun,出發；離境,The departure time has been changed to 6 p.m.,出發時間已改為下午六點。,leaving; takeoff,departure time,Travel,Intermediate
itinerary,noun,行程表；旅遊計畫,The travel agency sent us the itinerary by email.,旅行社用電子郵件寄給我們行程表。,travel plan; schedule,travel itinerary,Travel,Intermediate
accommodation,noun,住宿；住處,The company will pay for your accommodation during the trip.,公司會支付你出差期間的住宿費。,lodging; housing,book accommodation,Travel,Intermediate
boarding,noun,登機；上車,Boarding will begin twenty minutes before departure.,登機將在出發前二十分鐘開始。,embarkation,boarding gate,Travel,Intermediate
destination,noun,目的地,Tokyo is the final destination of this flight.,東京是這班航班的最終目的地。,arrival place; endpoint,final destination,Travel,Basic
delay,noun/verb,延誤；延遲,The train was delayed because of heavy rain.,火車因大雨而延誤。,postpone; hold up,flight delay,Travel,Basic
customs,noun,海關,All travelers must go through customs after arrival.,所有旅客抵達後都必須通過海關。,border control,go through customs,Travel,Intermediate
transportation,noun,交通；運輸,Public transportation is convenient in this city.,這個城市的大眾運輸很方便。,transit; transport,public transportation,Travel,Basic
applicant,noun,申請者；應徵者,Each applicant must submit a resume and cover letter.,每位申請者都必須提交履歷和求職信。,candidate; job seeker,job applicant,Human Resources,Basic
resume,noun,履歷,Please attach your resume to the online application form.,請將你的履歷附在線上申請表中。,CV; profile,submit a resume,Human Resources,Basic
interview,noun/verb,面試；訪談,The interview will take place next Wednesday morning.,面試將於下週三早上進行。,meeting; discussion,job interview,Human Resources,Basic
qualification,noun,資格；條件,The position requires strong computer skills and relevant qualifications.,這個職位需要良好的電腦技能和相關資格。,requirement; credential,meet the qualifications,Human Resources,Intermediate
hire,verb,雇用；錄用,The company plans to hire three new engineers.,公司計畫錄用三位新工程師。,employ; recruit,hire an employee,Human Resources,Basic
benefits,noun,福利,Full-time employees receive health insurance and other benefits.,全職員工享有健康保險和其他福利。,perks; advantages,employee benefits,Human Resources,Intermediate
training,noun,訓練；培訓,New staff members must complete the training program.,新進員工必須完成培訓課程。,instruction; coaching,training program,Human Resources,Basic
position,noun,職位；位置,She applied for a position in the finance department.,她申請了財務部門的一個職位。,job; role,open position,Human Resources,Basic
promotion,noun,升遷；促銷,He received a promotion after two years of excellent performance.,他因兩年優異表現而獲得升遷。,advancement; upgrade,receive a promotion,Human Resources,Intermediate
evaluation,noun,評估；考核,The annual evaluation will be completed by the end of June.,年度考核將於六月底前完成。,assessment; review,performance evaluation,Human Resources,Intermediate
refund,noun/verb,退款,Customers can request a refund within seven days.,顧客可以在七天內申請退款。,repayment; reimbursement,request a refund,Shopping,Basic
receipt,noun,收據；發票,Please keep your receipt in case you need to return the item.,請保留收據，以防需要退貨。,proof of purchase; bill,keep a receipt,Shopping,Basic
discount,noun,折扣,The store is offering a twenty percent discount this weekend.,這家店本週末提供八折優惠。,reduction; sale,special discount,Shopping,Basic
purchase,noun/verb,購買；採購,You can complete your purchase online.,你可以在線上完成購買。,buy; order,make a purchase,Shopping,Basic
warranty,noun,保固；保證書,The laptop comes with a one-year warranty.,這台筆電附有一年保固。,guarantee; protection,warranty period,Shopping,Intermediate
